! CMT, S5085, 19027456, 23.4.5/2
! Date: 4/27/2026 3:09:16 PM
! Stimulus(Hz),    S11(dB),           S21(dB),           S12(dB),           S22(dB),           S11(°),            S21(°),            S12(°),            S22(SWR)
9.04880220631E+03,-1.01108375821E-01,-3.05503107209E+01,-3.10033321987E+01,-2.76480574744E+00,-1.62780826066E+02,+7.92655263614E+01,+7.84554856332E+01,+6.33614486666E+00
9.05369695789E+03,-9.09733715878E-02,-3.07264663345E+01,-3.10163962621E+01,-2.76303660138E+00,-1.62771179442E+02,+7.88461554270E+01,+7.84035174091E+01,+6.34013415314E+00
9.05859435717E+03,-9.77669268235E-02,-3.07444275956E+01,-3.11074061163E+01,-2.76185462592E+00,-1.62863333474E+02,+7.93889838175E+01,+7.90630798481E+01,+6.34280228759E+00
9.06349440559E+03,-9.57864468386E-02,-3.10316125491E+01,-3.13811549313E+01,-2.75069030884E+00,-1.62852106519E+02,+7.94477034376E+01,+7.85198994791E+01,+6.36811814739E+00
9.06839710459E+03,-1.01994626750E-01,-3.12614462712E+01,-3.14876287568E+01,-2.75036841010E+00,-1.62976637375E+02,+7.92156745185E+01,+7.81990989788E+01,+6.36885114891E+00
9.07330245560E+03,-8.94442829640E-02,-3.12009368444E+01,-3.16582420485E+01,-2.76059418724E+00,-1.63028532535E+02,+7.98022445289E+01,+7.83089922251E+01,+6.34565007960E+00
9.07821046005E+03,-9.86091718706E-02,-3.13404032081E+01,-3.16287175821E+01,-2.76531948136E+00,-1.63053624503E+02,+7.91446317582E+01,+7.90497716590E+01,+6.33498740109E+00
9.08312111938E+03,-1.00260325864E-01,-3.15006297526E+01,-3.18015809222E+01,-2.77086391784E+00,-1.63120520287E+02,+7.87450800385E+01,+7.92689817215E+01,+6.32252307927E+00
9.08803443502E+03,-1.04926153540E-01,-3.17129798002E+01,-3.20199645561E+01,-2.75972448589E+00,-1.63092465080E+02,+7.94793637367E+01,+7.82634069461E+01,+6.34761658254E+00
9.09295040841E+03,-9.69128474250E-02,-3.19221080970E+01,-3.21548396318E+01,-2.75876509534E+00,-1.63226501942E+02,+7.88993306251E+01,+7.81042810885E+01,+6.34978733424E+00
9.09786904099E+03,-7.97556858106E-02,-3.19338800713E+01,-3.21808116655E+01,-2.76118082440E+00,-1.63231805913E+02,+7.94836115842E+01,+7.94868399431E+01,+6.34432432551E+00
9.10279033420E+03,-9.07480273120E-02,-3.20815077117E+01,-3.23550188786E+01,-2.77170077561E+00,-1.63243656188E+02,+7.89468000144E+01,+7.99112191697E+01,+6.32064612627E+00
9.10771428947E+03,-8.27658790735E-02,-3.22050238047E+01,-3.24865529931E+01,-2.75724011590E+00,-1.63303526374E+02,+7.90285804777E+01,+7.95573146987E+01,+6.35324094292E+00
9.11264090825E+03,-8.74748721281E-02,-3.22200499118E+01,-3.26791528000E+01,-2.75717701143E+00,-1.63375594093E+02,+7.96542428854E+01,+7.96907222835E+01,+6.35338393811E+00
9.11757019197E+03,-9.94194920550E-02,-3.24129993318E+01,-3.27971138232E+01,-2.76201964741E+00,-1.63373000532E+02,+8.04186915157E+01,+7.96385129496E+01,+6.34242963772E+00
9.12250214208E+03,-8.45271463719E-02,-3.25461882172E+01,-3.28995960109E+01,-2.76771259616E+00,-1.63419157514E+02,+7.92116290265E+01,+7.95484905945E+01,+6.32960131669E+00
9.12743676003E+03,-7.42854030398E-02,-3.27294373078E+01,-3.31084815663E+01,-2.75774087384E+00,-1.63442318195E+02,+7.91077223835E+01,+7.84922443887E+01,+6.35210645572E+00
9.13237404724E+03,-8.73719339557E-02,-3.28009458977E+01,-3.31621922701E+01,-2.75936874592E+00,-1.63389248869E+02,+7.94240843307E+01,+7.86972993006E+01,+6.34842131509E+00
9.13731400518E+03,-8.04018784413E-02,-3.29480683662E+01,-3.32422485976E+01,-2.75981269970E+00,-1.63504016456E+02,+8.02965411590E+01,+7.94528012071E+01,+6.34741706318E+00
9.14225663528E+03,-9.55912945638E-02,-3.31161880546E+01,-3.35277404778E+01,-2.76054113810E+00,-1.63556323564E+02,+7.91897135901E+01,+7.89094214893E+01,+6.34576999453E+00
9.14720193898E+03,-7.92885934731E-02,-3.32924198389E+01,-3.36556963879E+01,-2.76603757117E+00,-1.63547956396E+02,+8.06848715517E+01,+8.02425092160E+01,+6.33337023913E+00
9.15214991774E+03,-9.22296851012E-02,-3.33925679975E+01,-3.38214299465E+01,-2.75850390888E+00,-1.63583755281E+02,+7.92209711227E+01,+8.02392820230E+01,+6.35037856786E+00
9.15710057300E+03,-8.37533775148E-02,-3.35142815661E+01,-3.39383241433E+01,-2.75623296898E+00,-1.63662435869E+02,+7.96813943729E+01,+8.01919742107E+01,+6.35552393344E+00
9.16205390621E+03,-7.58903206292E-02,-3.37621538582E+01,-3.40606985727E+01,-2.76718111351E+00,-1.63628872280E+02,+7.92095396369E+01,+7.94233558464E+01,+6.33079669115E+00
9.16700991881E+03,-8.09104146052E-02,-3.38816830878E+01,-3.42681436150E+01,-2.75634987431E+00,-1.63750794244E+02,+8.08552207626E+01,+7.96503559093E+01,+6.35525884731E+00
9.17196861226E+03,-7.87703468027E-02,-3.39471844407E+01,-3.45017077842E+01,-2.75725656394E+00,-1.63838774204E+02,+8.00471006178E+01,+7.99764028327E+01,+6.35320367264E+00
9.17692998801E+03,-8.23761516254E-02,-3.43264369728E+01,-3.45789142125E+01,-2.76993895669E+00,-1.63826322215E+02,+8.05492155156E+01,+8.05825130875E+01,+6.32459896631E+00
9.18189404751E+03,-9.08952331516E-02,-3.43152297237E+01,-3.46807150436E+01,-2.74945938183E+00,-1.63815562605E+02,+8.02152420376E+01,+7.99384467478E+01,+6.37092204826E+00
9.18686079220E+03,-8.63525486914E-02,-3.44295216663E+01,-3.49012813507E+01,-2.77007919387E+00,-1.63837501717E+02,+8.10044301360E+01,+8.03944139781E+01,+6.32428414260E+00
9.19183022355E+03,-7.32270201403E-02,-3.45656880608E+01,-3.50942961122E+01,-2.76258688961E+00,-1.63937368849E+02,+8.09062766600E+01,+8.08871780038E+01,+6.34114903948E+00
9.19680234300E+03,-7.95824027076E-02,-3.46196250034E+01,-3.50452134745E+01,-2.76456552280E+00,-1.63934691298E+02,+8.13284430510E+01,+8.01547051242E+01,+6.33668625239E+00
9.20177715201E+03,-8.40224250745E-02,-3.49859254937E+01,-3.51739230096E+01,-2.76500084953E+00,-1.63983919612E+02,+8.17286761239E+01,+8.03499011003E+01,+6.33570524181E+00
9.20675465204E+03,-7.88869736095E-02,-3.49789535328E+01,-3.54099302357E+01,-2.75715246580E+00,-1.64031112898E+02,+8.08346963346E+01,+8.05382094145E+01,+6.35343956047E+00
9.21173484453E+03,-9.04457458274E-02,-3.51515276850E+01,-3.57067171204E+01,-2.76293956349E+00,-1.64030362131E+02,+8.12351147804E+01,+8.12064493335E+01,+6.34035311505E+00
9.21671773095E+03,-8.54664987221E-02,-3.53481564334E+01,-3.56791491671E+01,-2.76143578527E+00,-1.64055276122E+02,+8.10204255633E+01,+8.07729709134E+01,+6.34374831098E+00
9.22170331276E+03,-7.97247748201E-02,-3.54557432097E+01,-3.60263948502E+01,-2.75870512963E+00,-1.64212605016E+02,+8.13395727807E+01,+8.12433196511E+01,+6.34992306538E+00
9.22669159141E+03,-6.93955015281E-02,-3.55377021460E+01,-3.60035504674E+01,-2.76743242728E+00,-1.64143628302E+02,+8.19801349723E+01,+8.08148787129E+01,+6.33023139569E+00
9.23168256835E+03,-1.03168719932E-01,-3.59056721328E+01,-3.62166834489E+01,-2.76046688232E+00,-1.64187652297E+02,+8.27229750524E+01,+8.15681644218E+01,+6.34593785380E+00
9.23667624506E+03,-7.07178634831E-02,-3.59559394786E+01,-3.63617610776E+01,-2.75893199783E+00,-1.64173609326E+02,+8.20962117668E+01,+8.14522270988E+01,+6.34940958526E+00
9.24167262298E+03,-7.66206500271E-02,-3.62935188795E+01,-3.67561324894E+01,-2.75775043230E+00,-1.64237071923E+02,+8.22678982738E+01,+8.16642437630E+01,+6.35208480468E+00
9.24667170359E+03,-7.36340752483E-02,-3.64846540104E+01,-3.68986985423E+01,-2.76165356770E+00,-1.64309842757E+02,+8.20363098395E+01,+8.17128960298E+01,+6.34325637592E+00
9.25167348834E+03,-8.14522869742E-02,-3.65622027202E+01,-3.70188666315E+01,-2.76098647274E+00,-1.64381189291E+02,+8.25477177387E+01,+8.17299521492E+01,+6.34476348213E+00
9.25667797870E+03,-9.08028568543E-02,-3.65921268730E+01,-3.70291179484E+01,-2.76608078462E+00,-1.64321083454E+02,+8.22821058220E+01,+8.25118451563E+01,+6.33327294803E+00
9.26168517613E+03,-6.40258663708E-02,-3.70598003215E+01,-3.75543135353E+01,-2.75178909678E+00,-1.64502297566E+02,+8.32082822640E+01,+8.19589092509E+01,+6.36561737979E+00
9.26669508209E+03,-5.89311989759E-02,-3.69552348986E+01,-3.76174145217E+01,-2.76271879632E+00,-1.64409552498E+02,+8.30364494898E+01,+8.23433140312E+01,+6.34085132467E+00
9.27170769805E+03,-6.74045139901E-02,-3.71095417427E+01,-3.77665799067E+01,-2.75228263414E+00,-1.64492225524E+02,+8.42267452456E+01,+8.19553631966E+01,+6.36449477718E+00
9.27672302547E+03,-7.55805702351E-02,-3.76231334647E+01,-3.80073173686E+01,-2.76452673224E+00,-1.64500762892E+02,+8.42604628459E+01,+8.34195991233E+01,+6.33677368220E+00
9.28174106583E+03,-6.90570638681E-02,-3.76598714529E+01,-3.81928530696E+01,-2.77018518830E+00,-1.64465842151E+02,+8.33917342189E+01,+8.32112487792E+01,+6.32404621305E+00
9.28676182058E+03,-8.61607046591E-02,-3.77539145363E+01,-3.82006780072E+01,-2.77093687184E+00,-1.64593209250E+02,+8.45374334990E+01,+8.36599998540E+01,+6.32235940833E+00
9.29178529121E+03,-6.77389708869E-02,-3.79923135539E+01,-3.83042677781E+01,-2.76575443355E+00,-1.64592467482E+02,+8.37897994816E+01,+8.37736705951E+01,+6.33400777328E+00
9.29681147917E+03,-7.34065022804E-02,-3.81478147904E+01,-3.85613729074E+01,-2.77198811695E+00,-1.64530388255E+02,+8.40694007457E+01,+8.44117682311E+01,+6.32000192410E+00
9.30184038593E+03,-6.69080470824E-02,-3.84234655633E+01,-3.88068436107E+01,-2.77235086210E+00,-1.64673004351E+02,+8.44887412022E+01,+8.46709001588E+01,+6.31918886335E+00
9.30687201297E+03,-8.67791510989E-02,-3.84023032698E+01,-3.90389381516E+01,-2.77211560651E+00,-1.64745470448E+02,+8.61302124796E+01,+8.56026649714E+01,+6.31971614321E+00
9.31190636176E+03,-6.80908243396E-02,-3.86752302060E+01,-3.92467163330E+01,-2.76820045116E+00,-1.64703012386E+02,+8.59403633971E+01,+8.55265012073E+01,+6.32850447401E+00
9.31694343378E+03,-8.91591593471E-02,-3.89007571128E+01,-3.96180512610E+01,-2.77163149066E+00,-1.64733218594E+02,+8.71240156279E+01,+8.46393059988E+01,+6.32080147918E+00
9.32198323048E+03,-7.30019473462E-02,-3.90169672707E+01,-3.97674421012E+01,-2.77097006645E+00,-1.64838231831E+02,+8.76133823192E+01,+8.47582606647E+01,+6.32228493973E+00
9.32702575336E+03,-6.90983976838E-02,-3.92807800772E+01,-3.99142826545E+01,-2.76323879250E+00,-1.64779105980E+02,+8.82570204825E+01,+8.61061877054E+01,+6.33967796720E+00
9.33207100387E+03,-7.11883872542E-02,-3.95605688796E+01,-4.01388661543E+01,-2.76885367849E+00,-1.64863701267E+02,+8.61102153227E+01,+8.67110698614E+01,+6.32703643567E+00
9.33711898351E+03,-6.52086823498E-02,-3.98826258771E+01,-4.03305451279E+01,-2.75988794287E+00,-1.64877170503E+02,+8.77860283499E+01,+8.62293090331E+01,+6.34724689060E+00
9.34216969374E+03,-6.82808204117E-02,-3.97416037290E+01,-4.05496361026E+01,-2.76506728263E+00,-1.64901601744E+02,+8.80108846159E+01,+8.63491271723E+01,+6.33555556193E+00
9.34722313603E+03,-6.96335538769E-02,-4.01069921586E+01,-4.07242751965E+01,-2.76464189093E+00,-1.64858475918E+02,+8.72421472379E+01,+8.85501615923E+01,+6.33651413396E+00
9.35227931188E+03,-7.73960919677E-02,-4.02318328266E+01,-4.08989285759E+01,-2.76268422113E+00,-1.64977137451E+02,+8.78696061017E+01,+8.70444875688E+01,+6.34092935846E+00
9.35733822276E+03,-6.83866206240E-02,-4.04082958546E+01,-4.12313427121E+01,-2.75211406652E+00,-1.64867170915E+02,+8.79569034626E+01,+8.69990997744E+01,+6.36487815631E+00
9.36239987014E+03,-5.96148571153E-02,-4.07765463658E+01,-4.13493194888E+01,-2.76499064855E+00,-1.64994560227E+02,+8.91537744573E+01,+8.80786010569E+01,+6.33572822619E+00
9.36746425551E+03,-7.65018832346E-02,-4.11642977475E+01,-4.17164514979E+01,-2.76637997104E+00,-1.65066038616E+02,+9.15844427858E+01,+9.04900609680E+01,+6.33259944140E+00
9.37253138035E+03,-8.55968125289E-02,-4.13138830965E+01,-4.21295915309E+01,-2.76941751406E+00,-1.65122484284E+02,+9.09037852971E+01,+9.05624810912E+01,+6.32576985456E+00
9.37760124614E+03,-6.62066824922E-02,-4.16596412544E+01,-4.21890995101E+01,-2.76919395112E+00,-1.65093825125E+02,+9.10240810333E+01,+8.95362251830E+01,+6.32627199654E+00
9.38267385436E+03,-7.63134916924E-02,-4.17193765085E+01,-4.25195027992E+01,-2.76870473523E+00,-1.65067454683E+02,+9.18137373968E+01,+9.04061222877E+01,+6.32737110363E+00
9.38774920650E+03,-6.01993909371E-02,-4.20298727151E+01,-4.28179275952E+01,-2.77561378967E+00,-1.65100031312E+02,+9.10870423547E+01,+9.23373180738E+01,+6.31188493812E+00
9.39282730404E+03,-6.43699477939E-02,-4.20819927113E+01,-4.27553390138E+01,-2.77044337948E+00,-1.65245532776E+02,+9.15316389497E+01,+9.21871949042E+01,+6.32346671874E+00
9.39790814847E+03,-7.70767031029E-02,-4.23731003834E+01,-4.32366759284E+01,-2.77903338137E+00,-1.65244888027E+02,+9.41086067002E+01,+9.22604526978E+01,+6.30424888947E+00
9.40299174127E+03,-6.34708478586E-02,-4.27904684852E+01,-4.35150250471E+01,-2.78003219424E+00,-1.65218151060E+02,+9.39087931306E+01,+9.29943515010E+01,+6.30202208597E+00
9.40807808392E+03,-6.79506551846E-02,-4.30658082174E+01,-4.39954631964E+01,-2.77882224323E+00,-1.65217372886E+02,+9.54140045652E+01,+9.61405300284E+01,+6.30471981813E+00
9.41316717792E+03,-4.85337196010E-02,-4.29555487937E+01,-4.38278714750E+01,-2.78172674686E+00,-1.65232965152E+02,+9.53025849799E+01,+9.55477719118E+01,+6.29824785448E+00
9.41825902476E+03,-6.71547007395E-02,-4.34179412592E+01,-4.45344050904E+01,-2.77169902816E+00,-1.65328277918E+02,+9.42578394116E+01,+9.71720681066E+01,+6.32065004437E+00
9.42335362592E+03,-7.58463276064E-02,-4.37107003248E+01,-4.45318980859E+01,-2.76761406504E+00,-1.65352737896E+02,+9.69044469641E+01,+9.66876980605E+01,+6.32982289119E+00
9.42845098289E+03,-5.47001939985E-02,-4.41598584117E+01,-4.50763203725E+01,-2.77381635321E+00,-1.65379698136E+02,+9.97964888233E+01,+9.95883104657E+01,+6.31590627979E+00
9.43355109716E+03,-6.88307135403E-02,-4.42995364461E+01,-4.50808363777E+01,-2.78277935640E+00,-1.65390422471E+02,+1.00162294020E+02,+1.00374920866E+02,+6.29590573972E+00
9.43865397023E+03,-6.15349401208E-02,-4.46240012964E+01,-4.54975100598E+01,-2.78440897036E+00,-1.65433074335E+02,+1.00175171652E+02,+1.00650888663E+02,+6.29228328078E+00
9.44375960359E+03,-6.60538581656E-02,-4.47991508828E+01,-4.59634041473E+01,-2.77839353321E+00,-1.65530718554E+02,+1.02184331860E+02,+1.02442707566E+02,+6.30567624753E+00
9.44886799873E+03,-5.80996363683E-02,-4.55143194289E+01,-4.62177576290E+01,-2.78553771217E+00,-1.65515894878E+02,+1.01879341413E+02,+1.03920266176E+02,+6.28977671331E+00
9.45397915714E+03,-7.45866627974E-02,-4.54270091070E+01,-4.61593812703E+01,-2.77180945046E+00,-1.65618822680E+02,+1.02643462552E+02,+1.03446948263E+02,+6.32040246790E+00
9.45909308032E+03,-7.17154297823E-02,-4.54371813237E+01,-4.69840731407E+01,-2.78392669639E+00,-1.65459382615E+02,+1.05188119451E+02,+1.05313101455E+02,+6.29335487906E+00
9.46420976977E+03,-7.39296003682E-02,-4.57638421768E+01,-4.74340344958E+01,-2.77330688506E+00,-1.65588871840E+02,+1.04726707968E+02,+1.06896566769E+02,+6.31704705120E+00
9.46932922698E+03,-5.07267222918E-02,-4.62191062270E+01,-4.77021088723E+01,-2.78580658519E+00,-1.65673760270E+02,+1.07868564717E+02,+1.09484488389E+02,+6.28917993613E+00
9.47445145345E+03,-6.90202688890E-02,-4.68338572483E+01,-4.73481781127E+01,-2.78054389089E+00,-1.65640574180E+02,+1.08836372952E+02,+1.10215798210E+02,+6.30088190883E+00
9.47957645067E+03,-6.43808597449E-02,-4.71410087381E+01,-4.82250508610E+01,-2.78058464619E+00,-1.65676805440E+02,+1.12463487183E+02,+1.13102796204E+02,+6.30079111488E+00
9.48470422015E+03,-6.23439706619E-02,-4.75031388538E+01,-4.81941455487E+01,-2.78474617049E+00,-1.65637972456E+02,+1.08304771955E+02,+1.14868638733E+02,+6.29153425460E+00
9.48983476338E+03,-6.56518258150E-02,-4.77113019259E+01,-4.88219108980E+01,-2.78330180436E+00,-1.65663130818E+02,+1.14817689220E+02,+1.16726337969E+02,+6.29474392742E+00
9.49496808187E+03,-6.75731466419E-02,-4.81422177121E+01,-4.87916859084E+01,-2.78807176104E+00,-1.65682304001E+02,+1.13378529839E+02,+1.19787810292E+02,+6.28415687314E+00
9.50010417711E+03,-5.92368074062E-02,-4.78770102881E+01,-4.91838903419E+01,-2.78386080805E+00,-1.65719416365E+02,+1.18480057114E+02,+1.23044094021E+02,+6.29350131005E+00
9.50524305062E+03,-4.95972040964E-02,-4.86460271360E+01,-4.92875988893E+01,-2.78879320593E+00,-1.65739190049E+02,+1.19619141561E+02,+1.23089855054E+02,+6.28255878574E+00
9.51038470388E+03,-5.20392492544E-02,-4.86147025536E+01,-5.01396317181E+01,-2.77159140114E+00,-1.65817063171E+02,+1.24194702913E+02,+1.27137664756E+02,+6.32089137274E+00
9.51552913841E+03,-6.89425715960E-02,-4.87844053830E+01,-5.04180733664E+01,-2.78471910583E+00,-1.65856276858E+02,+1.26388428462E+02,+1.29822130060E+02,+6.29159436686E+00
9.52067635571E+03,-6.02472250414E-02,-4.93416696721E+01,-5.03909939573E+01,-2.79490133620E+00,-1.65844707969E+02,+1.28692249658E+02,+1.34596038340E+02,+6.26906188671E+00
9.52582635728E+03,-5.38068814123E-02,-4.96981506962E+01,-5.07765640579E+01,-2.78189719031E+00,-1.65997152820E+02,+1.29480643708E+02,+1.35934768562E+02,+6.29786848704E+00
9.53097914463E+03,-6.13500140552E-02,-5.01791720627E+01,-5.13720436654E+01,-2.78688900527E+00,-1.65884640495E+02,+1.33667366563E+02,+1.42204254300E+02,+6.28677862522E+00
9.53613471927E+03,-4.85097739403E-02,-5.01536050645E+01,-5.13580458645E+01,-2.78832182586E+00,-1.65983399329E+02,+1.37091666716E+02,+1.44637362356E+02,+6.28360285498E+00
9.54129308271E+03,-5.32151205079E-02,-4.95938817385E+01,-5.10522825650E+01,-2.79067769995E+00,-1.65980859835E+02,+1.40991721988E+02,+1.48159888935E+02,+6.27838833581E+00
9.54645423645E+03,-5.87275478578E-02,-5.05142739619E+01,-5.16630324234E+01,-2.78964566337E+00,-1.66029448994E+02,+1.41982596099E+02,+1.51103775227E+02,+6.28067156428E+00
9.55161818200E+03,-6.46289918420E-02,-5.01655693410E+01,-5.12975173753E+01,-2.79066306775E+00,-1.66091521070E+02,+1.47618572818E+02,+1.56870196536E+02,+6.27842069549E+00
9.55678492088E+03,-5.17251203979E-02,-5.09204474582E+01,-5.15358945290E+01,-2.79184228307E+00,-1.66009619222E+02,+1.51540612635E+02,+1.61289504864E+02,+6.27581391230E+00
9.56195445459E+03,-7.97098521685E-02,-5.04708706901E+01,-5.12831126623E+01,-2.78806841243E+00,-1.66201897980E+02,+1.56976661611E+02,+1.62597585074E+02,+6.28416429266E+00
9.56712678465E+03,-5.99235755466E-02,-5.04166422874E+01,-5.13681116714E+01,-2.79190259522E+00,-1.66053569706E+02,+1.57549723811E+02,+1.66045717083E+02,+6.27568064545E+00
9.57230191256E+03,-6.26079812679E-02,-5.07888898236E+01,-5.10477875577E+01,-2.79781268410E+00,-1.66151916864E+02,+1.57942978659E+02,+1.72933901511E+02,+6.26264971094E+00
9.57747983985E+03,-6.38285866362E-02,-5.03080162007E+01,-5.07718778579E+01,-2.79932244660E+00,-1.66108943209E+02,+1.63603434604E+02,+1.74737223054E+02,+6.25932979124E+00
9.58266056803E+03,-6.31492756935E-02,-5.03785236488E+01,-5.09889908282E+01,-2.79863712566E+00,-1.66191544244E+02,+1.67065545542E+02,+1.77404012443E+02,+6.26083634242E+00
9.58784409860E+03,-5.83388386741E-02,-4.98194368382E+01,-5.04191849978E+01,-2.79094625639E+00,-1.66166643693E+02,+1.71940703558E+02,-1.76048405042E+02,+6.27779447362E+00
9.59303043310E+03,-5.55164641653E-02,-5.06652622722E+01,-5.08325638151E+01,-2.80072571751E+00,-1.66222029062E+02,+1.73698713509E+02,-1.75455981011E+02,+6.25624728037E+00
9.59821957302E+03,-5.99729012386E-02,-5.02085612316E+01,-5.00778948883E+01,-2.79726124973E+00,-1.66293148922E+02,+1.75946301509E+02,-1.72065573157E+02,+6.26386319879E+00
9.60341151990E+03,-4.49219831917E-02,-5.02455572516E+01,-5.03012251234E+01,-2.79809860804E+00,-1.66359602173E+02,-1.77551275791E+02,-1.69836124733E+02,+6.26202069593E+00
9.60860627525E+03,-6.01628026193E-02,-5.01444799963E+01,-4.97938887953E+01,-2.80173523850E+00,-1.66229652455E+02,-1.74805297842E+02,-1.65766235445E+02,+6.25403163095E+00
9.61380384059E+03,-4.29370627484E-02,-4.98605232422E+01,-4.94047733087E+01,-2.79517663457E+00,-1.66340443082E+02,-1.73997958907E+02,-1.66588920772E+02,+6.26845497174E+00
9.61900421744E+03,-5.64197599385E-02,-4.98197589191E+01,-4.95201603772E+01,-2.79981357243E+00,-1.66345066139E+02,-1.71192886031E+02,-1.63704723961E+02,+6.25825059964E+00
9.62420740732E+03,-6.40773523001E-02,-4.90730091038E+01,-4.91199909556E+01,-2.79984623795E+00,-1.66374902981E+02,-1.67789658798E+02,-1.59915308268E+02,+6.25817883452E+00
9.62941341175E+03,-6.69359669128E-02,-4.89508762859E+01,-4.88389564471E+01,-2.79648398379E+00,-1.66414866643E+02,-1.66446357301E+02,-1.57067190635E+02,+6.26557447188E+00
9.63462223225E+03,-6.73007916091E-02,-4.83385852467E+01,-4.88712824372E+01,-2.79967871995E+00,-1.66418700851E+02,-1.67443316731E+02,-1.57741720219E+02,+6.25854688417E+00
9.63983387035E+03,-5.52946793650E-02,-4.85623412889E+01,-4.85336921864E+01,-2.80201204244E+00,-1.66394854174E+02,-1.60832728259E+02,-1.56009664539E+02,+6.25342439592E+00
9.64504832758E+03,-5.69785024771E-02,-4.85972771343E+01,-4.81667865582E+01,-2.80078781711E+00,-1.66508861808E+02,-1.61296618620E+02,-1.54237831002E+02,+6.25611094057E+00
9.65026560545E+03,-6.26487141741E-02,-4.80893170286E+01,-4.78236846629E+01,-2.80326711693E+00,-1.66377279563E+02,-1.58033969322E+02,-1.52812722679E+02,+6.25067261023E+00
9.65548570549E+03,-4.22067971628E-02,-4.79716127890E+01,-4.77065010256E+01,-2.80423326861E+00,-1.66444845590E+02,-1.58412205496E+02,-1.49864517830E+02,+6.24855598829E+00
9.66070862923E+03,-5.70686977589E-02,-4.75637863508E+01,-4.71613184868E+01,-2.79734163282E+00,-1.66497778061E+02,-1.55258711326E+02,-1.48344871000E+02,+6.26368627753E+00
9.66593437820E+03,-5.60338002620E-02,-4.70489422137E+01,-4.70535379920E+01,-2.80531491101E+00,-1.66596096150E+02,-1.52345364621E+02,-1.47976756582E+02,+6.24618809680E+00
9.67116295392E+03,-5.67163188497E-02,-4.73185111957E+01,-4.65807739931E+01,-2.80048749539E+00,-1.66549816848E+02,-1.52557602646E+02,-1.48442685332E+02,+6.25677035410E+00
9.67639435792E+03,-5.13044546683E-02,-4.71082431835E+01,-4.67569071962E+01,-2.80609589539E+00,-1.66466463322E+02,-1.53716142804E+02,-1.46884673017E+02,+6.24447953941E+00
9.68162859174E+03,-6.51650064462E-02,-4.65864169690E+01,-4.61456660715E+01,-2.80341401415E+00,-1.66657014184E+02,-1.48167456280E+02,-1.44799693065E+02,+6.25035069646E+00
9.68686565691E+03,-5.49780431335E-02,-4.64062977424E+01,-4.61658099412E+01,-2.80150660995E+00,-1.66636266941E+02,-1.48136564758E+02,-1.43004568711E+02,+6.25453327310E+00
9.69210555495E+03,-5.77186081004E-02,-4.61490472766E+01,-4.58654027190E+01,-2.80713809674E+00,-1.66677367002E+02,-1.45939433785E+02,-1.42347335972E+02,+6.24220101207E+00
9.69734828739E+03,-5.31401695707E-02,-4.57943671933E+01,-4.56767685489E+01,-2.81362271489E+00,-1.66696428991E+02,-1.46993919568E+02,-1.43633994182E+02,+6.22806217958E+00
9.70259385578E+03,-5.10564780886E-02,-4.58601572918E+01,-4.55692564085E+01,-2.81352347112E+00,-1.66764273852E+02,-1.45098784967E+02,-1.41436254101E+02,+6.22827807181E+00
